id,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,instant_bookable,calculated_host_listings_count,weekend_availability_rate,num_reviews_bin,average_review_score,host_experience_years,amenities_count,is_long_term,has_gym,has_pool,has_spa,has_ac,has_view,avg_dist_tourist,min_dist_airport,neighbourhood_popularity_rank,host_response_time_encoded,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_type_clean_Entire home,property_type_clean_Entire rental unit,property_type_clean_Entire serviced apartment,property_type_clean_Other,property_type_clean_Private room in bed and breakfast,property_type_clean_Private room in home,property_type_clean_Private room in rental unit,property_type_clean_Room in aparthotel,property_type_clean_Room in boutique hotel,property_type_clean_Room in hotel,price,log_price,log_price_cap
1181004785476728503,32.0,True,True,True,1.3862943611198906,0.6931471805599453,0.6931471805599453,1.0986122886681098,True,4.356708826689592,0.7371794871794872,0.0,4.633228987443046,3,8,0,0,0,0,1,0,12.189817026871085,30.848033431452873,31,4,False,False,False,False,True,False,False,False,False,False,False,False,False,2135.0,7.666690200080086,7.666690200080086
1176960661064264249,99.0,True,True,True,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,2.3978952727983707,0.9807692307692308,4.0,4.7299999999999995,11,12,0,0,0,0,1,0,2.6408799465810704,30.63123457138412,35,4,False,True,False,False,False,False,False,False,False,False,False,False,True,1642.0,7.404279118037268,7.404279118037268
1176988067654242305,100.0,True,True,True,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,3.5263605246161616,0.4423076923076923,2.0,5.0,12,47,0,0,0,0,1,0,2.270573966829203,31.398686087976277,37,4,False,False,False,False,True,False,False,False,False,False,False,False,False,2468.0,7.81156848934518,7.81156848934518
1177005291616953329,79.0,True,True,True,1.3862943611198906,0.0,0.6931471805599453,0.6931471805599453,True,1.0986122886681098,0.3694267515923566,1.0,5.0,1,13,1,0,0,0,0,0,5.568519262516266,25.89441594531391,34,4,False,False,False,False,True,False,False,False,False,False,False,False,False,874.0,6.774223886357614,6.774223886357614
1177225415743007747,80.0,True,True,True,1.6094379124341003,0.6931471805599453,1.0986122886681098,1.3862943611198906,True,1.791759469228055,0.6666666666666666,2.0,4.958333333333333,2,5,1,0,0,0,1,0,53.66014687168361,38.220928197612274,26,4,False,False,False,False,True,False,False,False,False,False,False,False,False,3150.0,8.055475141757274,8.055475141757274
1177254477765083729,99.0,True,True,True,1.791759469228055,1.0986122886681098,1.0986122886681098,1.0986122886681098,True,4.836281906951478,0.4615384615384615,5.0,4.478333333333333,11,46,0,0,0,0,1,0,4.611980203851258,29.014534143265188,33,4,False,False,False,False,True,False,False,False,False,False,False,False,False,4724.0,8.460622839927844,8.460622839927844
1177269895250314400,99.0,True,True,True,1.3862943611198906,0.6931471805599453,0.6931471805599453,1.0986122886681098,True,2.1972245773362196,1.0,1.0,4.666666666666667,1,48,0,0,0,0,1,1,2.759245183410772,31.2207158797991,35,4,False,False,False,False,False,False,True,False,False,False,False,False,False,2262.0,7.724446645633537,7.724446645633537
1181005016572496075,84.0,True,True,True,1.3862943611198906,0.6931471805599453,0.6931471805599453,1.0986122886681098,True,2.0794415416798357,0.9936305732484076,3.0,4.808333333333334,1,28,1,0,0,1,1,0,73.21907013530091,51.48888024563916,26,4,False,True,False,False,False,False,True,False,False,False,False,False,False,3850.0,8.25608813381491,8.25608813381491
1181007859258035324,88.0,True,True,True,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,0.6931471805599453,1.0,0.0,4.633228987443046,6,10,1,0,0,0,1,0,12.357307429911492,18.959592955489832,28,4,False,False,False,False,True,False,False,False,False,False,False,False,False,2500.0,7.824445930877619,7.824445930877619
1181025118937749898,32.0,True,True,True,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,4.356708826689592,0.7371794871794872,0.0,4.633228987443046,3,8,0,0,0,0,1,0,12.189817026871085,30.848033431452873,31,4,False,False,False,False,True,False,False,False,False,False,False,False,False,1531.0,7.3343293503005365,7.3343293503005365
1181035568666740701,32.0,True,True,True,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,4.356708826689592,0.7371794871794872,0.0,4.633228987443046,3,8,1,0,0,0,1,0,12.189817026871085,30.848033431452873,31,4,False,False,False,False,True,False,False,False,False,False,False,False,False,1515.0,7.323830566202317,7.323830566202317
1181061957258576145,100.0,True,True,True,1.791759469228055,0.6931471805599453,1.0986122886681098,1.3862943611198906,True,1.9459101490553132,1.0,0.0,4.633228987443046,1,8,0,0,0,0,1,0,3.6339605721191477,30.52934466111573,33,4,False,True,False,False,False,False,False,False,False,False,False,False,True,5060.0,8.529319371214077,8.529319371214077
1181062441235732714,32.0,True,True,True,1.3862943611198906,0.6931471805599453,0.6931471805599453,1.0986122886681098,True,4.356708826689592,0.25,0.0,4.633228987443046,3,8,0,0,0,0,1,0,12.089289401009538,30.888330032591796,31,4,False,False,False,False,True,False,False,False,False,False,False,False,False,1200.0,7.0909098220799835,7.0909098220799835
1181072190383878105,87.0,True,True,True,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,1.6094379124341003,0.3397435897435897,4.0,4.825,2,28,0,0,0,0,0,0,4.647284180834404,31.636486749913782,35,4,False,False,False,False,True,False,False,False,False,False,False,False,False,1486.0,7.304515946460155,7.304515946460155
1181116188329743838,32.0,True,True,True,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0986122886681098,True,4.356708826689592,0.2115384615384615,0.0,4.633228987443046,3,7,0,0,0,0,1,0,11.93204910336565,30.98231301319441,31,4,False,False,False,False,True,False,False,False,False,False,False,False,False,1595.0,7.3752557780097545,7.3752557780097545
1181117379295044660,75.0,True,True,True,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,True,1.791759469228055,1.0,0.0,4.633228987443046,1,6,1,0,0,0,1,0,1.7941486755487308,31.229813149080442,37,4,False,True,False,False,False,False,False,False,False,False,False,False,True,3078.0,8.0323601479245,8.0323601479245
