listing_id,weekend_availability_rate,weekday_availability_rate
4425965,1.0,0.9904306220095693
4427353,1.0,1.0
4433942,0.9936305732484076,1.0
4442791,0.7948717948717948,0.7703349282296651
4443091,0.8461538461538461,0.8660287081339713
4443316,0.9872611464968153,0.9807692307692307
4443412,0.9230769230769231,0.8803827751196173
4443505,1.0,0.9952153110047847
4443624,0.9743589743589743,0.9569377990430622
4445647,0.9936305732484076,1.0
4454503,0.9230769230769231,0.9138755980861244
4456792,0.9230769230769231,0.937799043062201
4460207,1.0,1.0
4478215,0.9426751592356688,0.9326923076923077
4480690,1.0,0.9904306220095693
4480737,1.0,0.9952153110047847
4487133,1.0,1.0
4497823,1.0,0.9903846153846154
4501700,1.0,1.0
4537932,0.8910256410256411,0.8947368421052632
4541573,1.0,1.0
4545808,0.717948717948718,0.7177033492822966
4547384,0.5,0.507177033492823
4553383,0.0,0.0
4562444,0.4840764331210191,0.4807692307692308
4584562,1.0,1.0
4584867,0.9807692307692307,0.9760765550239234
4594357,0.9936305732484076,1.0
4615908,1.0,1.0
4621995,1.0,1.0
4627130,0.9743589743589743,0.9760765550239234
4627484,1.0,0.9952153110047847
4630708,1.0,1.0
4630920,0.9936305732484076,1.0
4637272,1.0,1.0
4650307,0.9936305732484076,1.0
4652482,1.0,1.0
4696988,1.0,1.0
4700162,0.9871794871794872,0.9856459330143541
4723331,0.5705128205128205,0.5598086124401914
4734756,1.0,0.9904306220095693
4736645,1.0,1.0
4748092,0.0,0.0
4748563,1.0,1.0
4755485,0.25,0.23923444976076555
4758565,0.47770700636942676,0.4951923076923077
4812243,1.0,1.0
4813319,1.0,1.0
4842966,0.0,0.0
4848849,1.0,0.9952153110047847
4870039,0.4807692307692308,0.4784688995215311
4870346,0.9745222929936306,0.9807692307692307
4871579,1.0,0.9904306220095693
4875278,1.0,1.0
4876386,1.0,1.0
4894884,1.0,1.0
4913768,1.0,1.0
4964466,0.0,0.0
4965075,1.0,1.0
4966009,0.9808917197452229,0.9855769230769231
5009749,0.9807692307692307,0.9808612440191388
5026739,1.0,1.0
5066978,1.0,1.0
5109607,1.0,1.0
5110135,0.9807692307692307,0.9808612440191388
5129159,1.0,1.0
5139769,1.0,1.0
5148344,0.3076923076923077,0.3157894736842105
5167454,0.3076923076923077,0.3157894736842105
5167929,0.3076923076923077,0.31100478468899523
5178127,1.0,1.0
5193581,0.9102564102564102,0.8803827751196173
5199858,0.48717948717948717,0.49282296650717705
5228368,0.9681528662420382,0.9903846153846154
5228870,0.9808917197452229,0.9807692307692307
5229195,1.0,1.0
5240945,0.9936305732484076,1.0
5244149,0.7884615384615384,0.7703349282296651
5266737,0.2929936305732484,0.3076923076923077
5267990,1.0,1.0
5268433,0.9936305732484076,1.0
5273162,0.9681528662420382,0.9663461538461539
5273249,0.9935897435897436,0.9952153110047847
5275536,0.9038461538461539,0.8947368421052632
5275657,0.7884615384615384,0.7703349282296651
5275766,1.0,0.9952153110047847
5276460,0.9871794871794872,0.9665071770334929
5276509,0.36538461538461536,0.37320574162679426
5276885,0.9871794871794872,0.9808612440191388
5317179,0.9171974522292994,0.9471153846153846
5330937,0.5,0.507177033492823
5331101,0.5,0.5023923444976076
5332123,1.0,1.0
5332493,0.2929936305732484,0.3076923076923077
5333241,0.2929936305732484,0.3076923076923077
5340602,0.9935897435897436,1.0
5352841,1.0,1.0
5360506,0.8598726114649682,0.8028846153846154
5360777,0.8910256410256411,0.861244019138756
5369220,1.0,1.0
5373475,1.0,1.0
5378766,1.0,1.0
5380709,0.3076923076923077,0.31100478468899523
5390405,0.8525641025641025,0.9282296650717703
5393121,1.0,1.0
5393495,1.0,1.0
5409968,0.9936305732484076,1.0
5433084,0.9807692307692307,0.9808612440191388
5440634,0.0,0.0
5450668,0.2929936305732484,0.3076923076923077
5451782,0.4230769230769231,0.41626794258373206
5463601,1.0,1.0
5503376,0.25,0.24401913875598086
5513272,1.0,1.0
5527138,0.9808917197452229,0.9903846153846154
5527457,0.9936305732484076,1.0
5527534,1.0,1.0
5528102,0.9871794871794872,0.9904306220095693
5528217,0.9745222929936306,1.0
5528670,1.0,1.0
5529833,1.0,1.0
5530767,1.0,1.0
5534700,1.0,0.9856459330143541
5543311,0.47435897435897434,0.47368421052631576
5551051,1.0,1.0
5555181,1.0,1.0
5559618,1.0,1.0
5574192,0.47435897435897434,0.47368421052631576
5596920,0.8269230769230769,0.8277511961722488
5650577,0.9299363057324841,0.9326923076923077
5663555,1.0,1.0
5665579,1.0,1.0
5699289,0.9936305732484076,1.0
5699793,1.0,1.0
5701245,0.9936305732484076,1.0
5713667,0.9808917197452229,0.9807692307692307
5722758,0.9171974522292994,0.9086538461538461
5733293,0.7051282051282052,0.6985645933014354
5824485,1.0,1.0
5849499,0.8471337579617835,0.8028846153846154
5865327,1.0,1.0
5883037,0.5769230769230769,0.5933014354066986
5892515,0.8653846153846154,0.8708133971291866
5895793,0.8717948717948718,0.8564593301435407
5906035,0.9363057324840764,0.9711538461538461
5906616,0.9936305732484076,1.0
5906695,1.0,0.9760765550239234
5908045,0.9935897435897436,0.9904306220095693
5908453,0.9872611464968153,1.0
5908758,1.0,0.9952153110047847
5908938,0.9808917197452229,0.9951923076923077
5921745,0.0,0.0
5922850,0.25,0.24401913875598086
5944929,1.0,0.9952153110047847
5951095,1.0,0.9952153110047847
5977139,0.9936305732484076,1.0
5977570,1.0,1.0
5997128,0.9171974522292994,0.9230769230769231
5999514,0.49044585987261147,0.4951923076923077
6004140,0.9872611464968153,1.0
6009785,0.9487179487179487,0.9330143540669856
6028877,0.19230769230769232,0.18660287081339713
6034192,0.6346153846153846,0.6746411483253588
6060168,0.9936305732484076,1.0
6087777,0.0,0.0
6097022,1.0,0.9952153110047847
6110739,1.0,1.0
6153915,1.0,0.9952153110047847
6185529,1.0,1.0
6197279,1.0,1.0
6207018,0.8846153846153846,0.8708133971291866
6215996,1.0,0.9856459330143541
6217173,0.9872611464968153,0.9951923076923077
6218529,0.0,0.0
6218631,1.0,1.0
6218705,0.9807692307692307,1.0
6218765,0.7388535031847133,0.7403846153846154
6218862,1.0,1.0
6219067,1.0,0.9952153110047847
6219261,1.0,1.0
6247930,0.9487179487179487,0.9617224880382775
6256194,0.4166666666666667,0.40669856459330145
6265781,0.4807692307692308,0.49282296650717705
6334802,0.5833333333333334,0.583732057416268
6365174,1.0,1.0
6365965,0.9936305732484076,1.0
6379964,1.0,0.9952153110047847
6383915,0.967948717948718,0.9712918660287081
6384639,0.4935897435897436,0.48325358851674644
6396412,1.0,1.0
6396593,0.9235668789808917,0.9471153846153846
6396705,1.0,1.0
6396768,1.0,0.9952153110047847
6397173,1.0,1.0
6397391,0.9807692307692307,0.9952153110047847
6418918,0.2356687898089172,0.24519230769230768
6422060,0.391025641025641,0.3875598086124402
6424451,0.9807692307692307,0.9808612440191388
6483048,0.9230769230769231,0.9090909090909091
6485132,0.9807692307692307,0.9665071770334929
6486388,0.9936305732484076,1.0
6486702,1.0,1.0
6496091,0.6815286624203821,0.6971153846153846
6534803,1.0,0.9952153110047847
6535193,1.0,0.9904306220095693
6539491,1.0,1.0
6549527,0.0,0.0
6562912,1.0,1.0
6563927,0.0,0.0
6564097,0.8662420382165605,0.8990384615384616
6565853,0.9102564102564102,0.8947368421052632
6566881,0.9743589743589743,0.9808612440191388
6568476,0.967948717948718,0.9712918660287081
6572468,1.0,1.0
6573005,1.0,1.0
6578935,1.0,1.0
6585856,0.9615384615384616,0.9712918660287081
6593292,0.9423076923076923,0.8995215311004785
6594020,0.9807692307692307,0.9521531100478469
6594896,0.9235668789808917,0.9086538461538461
6612410,0.9615384615384616,0.9617224880382775
6623365,1.0,1.0
6663647,0.967948717948718,0.9234449760765551
6664471,0.8589743589743589,0.861244019138756
