listing_id,num_reviews,num_reviews_bin
23290642,20,4
23337496,19,4
23364039,61,6
23373769,15,4
23394625,37,5
23404238,15,4
23430166,124,6
23458427,47,5
23499916,37,5
23531466,6,3
23533019,22,5
23538153,42,5
23541065,108,6
23588576,68,6
23634211,14,4
23658532,80,6
23660273,397,6
23661826,398,6
23673750,21,4
23679553,361,6
23679722,365,6
23706309,64,6
23737640,1,1
23753993,21,4
23763641,37,5
23769502,20,4
23769926,16,4
23770185,20,4
23770831,43,5
23771101,16,4
23771550,14,4
23771752,54,6
23781171,91,6
23785490,96,6
23786629,53,6
23797941,25,5
23798387,7,3
23815762,120,6
23831126,17,4
23867543,10,4
23885556,4,2
23921246,1,1
23930247,137,6
23936637,3,2
24167430,154,6
24178039,178,6
24178762,122,6
24198058,10,4
24221482,339,6
24254120,5,3
24273375,226,6
24274009,223,6
24298167,115,6
24302816,131,6
24306226,166,6
24339530,231,6
24408038,23,5
24496563,5,3
24496813,13,4
24520301,6,3
24532993,125,6
24581064,361,6
24585878,39,5
24590217,34,5
24643897,366,6
24652972,6,3
24664871,41,5
24710734,14,4
24788910,12,4
24797491,15,4
24803402,1,1
24819039,6,3
24820642,1,1
24822712,80,6
24823330,105,6
24891241,59,6
24893836,54,6
24899242,2,1
24908186,7,3
24914750,169,6
24918090,1,1
24918390,3,2
24991453,63,6
25027762,1,1
25069056,9,3
25077014,11,4
25104214,1,1
25139417,225,6
25145002,1,1
25175186,25,5
25186882,40,5
25243480,19,4
25248977,22,5
25253689,2,1
25259351,262,6
25316601,11,4
25317144,5,3
25360721,134,6
25363766,9,3
25364464,4,2
25367307,5,3
25367542,4,2
25456100,1,1
25546314,1,1
25657462,211,6
25661877,177,6
25704591,11,4
25768193,11,4
25769991,265,6
25820098,61,6
25831144,1,1
25832733,53,6
25842439,24,5
25876873,87,6
25908626,19,4
25911951,7,3
25961228,1,1
26026839,8,3
26074057,19,4
26103478,144,6
26119475,17,4
26146113,1,1
26332231,19,4
26342532,9,3
26617724,83,6
26621958,110,6
26650766,15,4
26660084,18,4
26660987,86,6
26698663,37,5
26714949,225,6
26731546,33,5
26733865,70,6
26736103,145,6
26766062,2,1
26772357,42,5
26824624,3,2
26886047,26,5
26886761,40,5
26895272,18,4
26910677,15,4
26925918,5,3
26981664,3,2
26990760,3,2
27008397,1,1
27010906,246,6
27046250,15,4
27070509,3,2
27092617,188,6
27122957,34,5
27145210,19,4
27158854,229,6
27158855,175,6
27161100,4,2
27165175,4,2
27183690,142,6
27242744,275,6
27282226,219,6
27282790,196,6
27304334,185,6
27308249,25,5
27389638,10,4
27399627,105,6
27451542,118,6
27452410,19,4
27454362,58,6
27535947,71,6
27546949,3,2
27607409,42,5
27608769,3,2
27647593,1,1
27659808,75,6
27675306,25,5
27683824,10,4
27693630,149,6
27745347,44,5
27748221,226,6
27770174,36,5
27838741,1,1
27848471,121,6
27850939,13,4
27911594,2,1
27977458,312,6
27978311,21,4
28017108,1,1
28021443,3,2
28023221,9,3
28062895,3,2
28079198,9,3
28092889,1,1
28122146,6,3
28150329,286,6
28157628,159,6
28160178,21,4
28185121,269,6
28190467,42,5
28200232,72,6
28212413,54,6
28224457,37,5
28238166,51,5
28265904,3,2
28295492,11,4
28311209,23,5
28325109,33,5
28354544,4,2
28378655,30,5
28383403,166,6
28430914,89,6
28454183,3,2
28483546,50,5
28492725,8,3
28507771,36,5
28545231,54,6
28552516,125,6
28578921,14,4
28602352,36,5
28603723,20,4
28604346,66,6
28605413,16,4
28653256,118,6
28714177,10,4
28807746,2,1
28828914,1,1
28836266,232,6
28842338,43,5
28970269,8,3
28976001,31,5
29003490,128,6
29021531,8,3
29044275,31,5
29069333,252,6
29110235,3,2
29120289,1,1
29124956,4,2
29185456,19,4
29194156,1,1
29194248,4,2
29194267,2,1
29229109,31,5
29231538,127,6
29232198,88,6
29246731,9,3
29296237,54,6
29297300,38,5
29299460,52,6
29304801,58,6
29305257,50,5
29326255,1,1
29380054,89,6
29383371,29,5
29425513,3,2
29431592,2,1
29432607,3,2
29432747,3,2
29432887,2,1
29433359,1,1
29433535,1,1
29433592,2,1
29433661,3,2
29452926,221,6
29509330,60,6
29538417,192,6
29559625,12,4
29581436,15,4
29601902,1,1
29608032,80,6
29610087,39,5
29637328,159,6
29641901,52,6
29652252,120,6
29655708,100,6
29676486,4,2
29695181,4,2
29704852,17,4
29727391,5,3
29734560,47,5
29734688,17,4
29812124,112,6
29815302,71,6
29816349,72,6
29842168,45,5
29890959,36,5
29910229,215,6
29911823,1,1
29932879,74,6
29933040,99,6
29937498,119,6
29937686,198,6
30033107,21,4
30054543,35,5
30059418,2,1
30080576,5,3
30080592,2,1
30080700,3,2
30087365,191,6
30114032,13,4
30119373,110,6
30123811,4,2
30129215,1,1
30143272,14,4
30143809,37,5
30144296,1,1
30144303,1,1
30193117,15,4
30219921,54,6
30220497,179,6
30261600,9,3
30287968,12,4
30307330,15,4
30313728,22,5
30338390,6,3
30338684,3,2
30362712,2,1
30364897,60,6
30385260,66,6
30422997,1,1
30424293,26,5
30434370,11,4
30464779,32,5
30505090,82,6
30522602,73,6
30523500,173,6
30528268,31,5
30535070,18,4
30555211,19,4
30557077,111,6
30579047,184,6
30580294,117,6
30580616,146,6
30581082,109,6
30581722,186,6
30722325,174,6
30723131,156,6
30724485,25,5
30753628,6,3
30757182,105,6
30759448,77,6
30786429,134,6
30788962,149,6
30794541,31,5
30794884,2,1
30807908,1,1
30810000,210,6
30827541,3,2
30941044,117,6
30970303,1,1
31034950,1,1
31050040,209,6
31073255,8,3
31083549,151,6
31092179,157,6
31092297,365,6
31093333,79,6
31135620,1,1
31136623,1,1
31136861,3,2
31167444,42,5
31167520,151,6
31167868,13,4
31167995,74,6
31168079,12,4
31223603,21,4
31237972,116,6
31246607,150,6
31264413,6,3
31270923,203,6
31367813,41,5
31371042,121,6
31371293,25,5
31433463,42,5
31458109,3,2
31461083,114,6
31576506,2,1
31589026,13,4
31604247,34,5
31610522,223,6
31611229,9,3
31611445,5,3
31611565,1,1
31616575,52,6
31631381,31,5
31632259,166,6
31633673,123,6
31658180,82,6
31663755,9,3
31726036,10,4
31726419,11,4
31734914,12,4
31738986,59,6
31772760,1,1
31777319,49,5
31793679,308,6
31799667,326,6
31800824,253,6
31801225,230,6
31801680,198,6
31802291,268,6
31818278,16,4
31829712,198,6
31840680,54,6
31844291,157,6
31845058,330,6
31865044,31,5
31869120,5,3
31912019,33,5
31960422,13,4
31965813,5,3
31966442,6,3
31974241,1,1
32016840,2,1
32024659,14,4
32032291,13,4
32038855,8,3
32057063,1,1
32059914,5,3
32103721,1,1
32173291,1,1
32174226,2,1
32174629,84,6
32179794,299,6
32186550,874,6
32201264,2,1
32202642,248,6
32209035,97,6
32226631,48,5
32233460,2,1
32237865,3,2
32240954,2,1
32248085,31,5
32273552,1,1
32304743,100,6
32332780,127,6
32345857,1,1
32346375,127,6
32346525,81,6
32353360,1,1
32373249,85,6
32416135,90,6
32454909,215,6
32456949,214,6
32481157,49,5
32481471,8,3
32483976,34,5
32486062,31,5
32492426,2,1
32539065,197,6
32540093,2,1
32570942,14,4
32599491,50,5
32722128,22,5
32754439,27,5
32783855,11,4
32796116,276,6
32800234,82,6
32808328,152,6
32810046,144,6
32810260,143,6
32811115,3,2
32831402,92,6
32833910,244,6
32851802,1,1
32857680,9,3
32859152,138,6
32895385,25,5
32908591,145,6
32912234,17,4
32931937,3,2
32942470,161,6
32960351,3,2
32979642,64,6
32983910,169,6
33004183,21,4
33005655,69,6
33006925,3,2
33011413,55,6
33014342,9,3
33025105,22,5
33032251,30,5
33032905,51,5
33037355,2,1
33042114,4,2
33042877,145,6
33042945,22,5
33043808,28,5
33056647,6,3
33066857,34,5
33093457,23,5
33104585,3,2
33105153,21,4
33115450,1,1
33125596,1,1
33126861,4,2
33133906,34,5
33154622,8,3
33176553,1,1
33183404,24,5
33209667,13,4
33238559,29,5
33246198,246,6
33279484,69,6
33293311,7,3
33310092,58,6
33326673,33,5
33329713,2,1
33335006,53,6
33355889,4,2
33359151,47,5
33368383,59,6
33380946,113,6
33382858,14,4
33416022,160,6
33416454,94,6
33424150,3,2
33450962,4,2
33454547,7,3
33463730,52,6
33464222,61,6
33470102,134,6
33477573,165,6
33479338,175,6
33508064,287,6
33523502,123,6
33542237,11,4
33545500,266,6
33558248,233,6
33569737,11,4
33574831,27,5
33577860,133,6
33580275,8,3
33596331,6,3
33629143,18,4
33639947,3,2
33647934,103,6
33652799,66,6
33662093,7,3
33676494,1,1
33701473,23,5
33704965,5,3
33710072,193,6
33716628,94,6
33730238,14,4
33730243,188,6
33736245,401,6
33738776,220,6
33741163,14,4
33744964,40,5
33768166,190,6
33773970,81,6
33777965,67,6
33779762,1,1
33786790,126,6
33796290,52,6
33800274,18,4
33817976,72,6
33821429,61,6
33843351,90,6
33844712,138,6
33920261,83,6
33937368,68,6
33949599,33,5
33953843,24,5
33955062,2,1
33955122,27,5
33965209,282,6
33968922,24,5
33980184,16,4
33986282,11,4
34026265,6,3
34035552,5,3
34038321,17,4
34042258,74,6
34048761,161,6
34061633,82,6
34074435,19,4
34088831,178,6
34103062,35,5
34107537,43,5
34110375,1,1
34148106,1,1
34148833,10,4
34160613,9,3
34175238,76,6
34192150,125,6
34193507,112,6
34245702,115,6
34301812,22,5
34322870,197,6
34342125,28,5
34348764,1,1
34365613,163,6
34380519,25,5
34382961,2,1
34385524,21,4
34404133,3,2
34442220,81,6
34455977,3,2
34461273,32,5
34499497,50,5
34521429,29,5
34521674,5,3
34530958,2,1
34533546,48,5
34535708,208,6
34567508,1,1
34568917,1,1
34569139,11,4
34595679,57,6
34597701,29,5
34608670,1,1
34651818,16,4
34668042,58,6
34671501,65,6
34697208,25,5
34704227,58,6
34708791,71,6
34734886,169,6
34767180,3,2
34802471,94,6
34804484,15,4
34837132,11,4
34848244,183,6
34849986,222,6
34866076,102,6
34898032,1,1
34920946,70,6
34922667,5,3
34929597,200,6
34932373,258,6
34957464,260,6
34958669,45,5
35029902,234,6
35036115,15,4
35058353,151,6
35076152,15,4
35076163,10,4
35090691,136,6
35109732,11,4
35126325,3,2
35132630,17,4
35143854,215,6
35144545,273,6
35150106,60,6
35155394,12,4
35155426,8,3
35156074,4,2
35172779,44,5
35218904,1,1
35220369,143,6
35248675,242,6
35261220,189,6
35277909,167,6
35280259,65,6
35281823,128,6
35287740,127,6
35306241,274,6
35310147,7,3
35310986,51,5
35311527,8,3
35313233,43,5
35314180,29,5
35314714,177,6
35327308,24,5
35334838,103,6
35338321,138,6
35343317,193,6
35397144,143,6
35397146,152,6
35419970,40,5
35534459,256,6
35537425,33,5
35537761,52,6
35539066,64,6
35568607,42,5
35585495,24,5
35593601,24,5
35611885,630,6
35631189,4,2
35634799,30,5
35635117,49,5
35657584,142,6
35667368,130,6
35681918,126,6
35681996,151,6
35682515,161,6
35703944,121,6
35710349,29,5
35710796,57,6
35711166,22,5
35727547,167,6
35730287,11,4
35750491,127,6
35754327,3,2
35767745,3,2
35776138,1,1
35786909,27,5
35797655,70,6
35804989,5,3
35837839,80,6
35859895,68,6
35860423,92,6
35891255,210,6
